Drug Name,Current Indication,Possible Repurposed Use,Repurposing Score (%),Molecular Formula,Mechanism of Action,Side Effects,Approval Year,Generic Name,Brand Name,Side Effect Prediction (AI/ML),Pharmacokinetics (ADME),Clinical Trial Data,Preclinical Studies,Pathway Analysis,Dosage Forms,Recommended Dosage,Marketed By,Half-Life (t½) (hours),AI Predicted Repurposing Potential,AI-Based Drug-Drug Interaction Risk,Bioavailability,Absorption Rate,Metabolism Type,AI-Powered Personalized Medicine Suitability
Aspirin,Cholesterol Control,Antiviral,47.3,C9H8O4,Proton Pump Inhibitor,"Headache, Rash",1965,Omeprazole,Lipitor,Low Risk,Liver Metabolism,Completed,Toxicology Report,Immune Response Pathway,Capsule,10mg once daily,Roche,6,Moderate,Low Risk,Low (<50%),Moderate,Gut,Not Suitable
Metformin,Diabetes,Liver Disease,84.66,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1996,Atorvastatin Calcium,Advil,Moderate Risk,Liver Metabolism,Phase 2,No Preclinical Data,PI3K-AKT Pathway,Syrup,50mg daily,Novartis,12,High,Low Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Ibuprofen,Diabetes,Alzheimer's,86.66,C9H8O4,AMPK Activator,"Nausea, Dizziness",1994,Metformin Hydrochloride,Lipitor,High Risk,Renal Excretion,Completed,Toxicology Report,Dopaminergic Pathway,Injection,250mg every 8 hours,Pfizer,12,Moderate,Low Risk,Low (<50%),Slow,Enzyme-Specific,Not Suitable
Atorvastatin,Diabetes,Cardiovascular Disease,71.7,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Muscle Pain,1965,Omeprazole,Lipitor,High Risk,Liver Metabolism,Phase 3,Animal Testing,MAPK Pathway,Tablet,250mg every 8 hours,Novartis,6,Moderate,Moderate Risk,Low (<50%),Fast,Gut,Not Suitable
Omeprazole,Gastric Ulcer,Migraine Treatment,36.33,C13H18O2,Proton Pump Inhibitor,Muscle Pain,1996,Ibuprofen,Aspirin,Moderate Risk,High Bioavailability,Phase 1,In Vitro Studies,Serotonin Pathway,Topical Gel,250mg every 8 hours,Merck,24,High,Low Risk,Low (<50%),Fast,Gut,Partially Suitable
Losartan,Diabetes,Antiviral,44.99,C4H11N5,Proton Pump Inhibitor,Acid Reflux,1996,Acetylsalicylic Acid,Glucophage,Moderate Risk,Renal Excretion,Phase 3,In Vitro Studies,MAPK Pathway,Tablet,50mg daily,AstraZeneca,6,High,Low Risk,Moderate (50-80%),Fast,Liver,Partially Suitable
Paracetamol,Inflammation,Liver Disease,93.59,C4H11N5,COX Inhibitor,"Nausea, Dizziness",1996,Atorvastatin Calcium,Prilosec,Moderate Risk,Rapid Absorption,Completed,Animal Testing,Dopaminergic Pathway,Capsule,50mg daily,Novartis,2,Low,High Risk,Moderate (50-80%),Fast,Liver,Not Suitable
Ranitidine,Hypertension,Antiviral,37.49,C9H8O4,NSAID,Muscle Pain,1994,Metformin Hydrochloride,Advil,Low Risk,Rapid Absorption,Completed,Animal Testing,PI3K-AKT Pathway,Topical Gel,500mg twice a day,Novartis,6,High,High Risk,Moderate (50-80%),Fast,Liver,Suitable
Simvastatin,Diabetes,Migraine Treatment,75.16,C4H11N5,Proton Pump Inhibitor,Muscle Pain,1987,Ibuprofen,Advil,Low Risk,Liver Metabolism,Phase 1,Animal Testing,Immune Response Pathway,Topical Gel,10mg once daily,Roche,12,Moderate,High Risk,Moderate (50-80%),Slow,Gut,Suitable
Levothyroxine,Thyroid Hormone Replacement,Autoimmune Disorders,76.55,C17H19N3O3S,AMPK Activator,"Nausea, Dizziness",1996,Metformin Hydrochloride,Advil,Low Risk,Liver Metabolism,Phase 1,No Preclinical Data,Dopaminergic Pathway,Topical Gel,As prescribed,Pfizer,6,Low,Moderate Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
